ID,BedrijfskenmerkenSBI2008,Perioden,Ziekteverzuimpercentage_1
752,307610 ,2006KW03,4.0
753,307610 ,2006KW04,4.8
754,307610 ,2006JJ00,4.5
755,307610 ,2007KW01,4.8
756,307610 ,2007KW02,4.1
757,307610 ,2007KW03,3.8
758,307610 ,2007KW04,4.6
759,307610 ,2007JJ00,4.3
760,307610 ,2008KW01,4.7
761,307610 ,2008KW02,4.1
762,307610 ,2008KW03,4.1
763,307610 ,2008KW04,4.6
764,307610 ,2008JJ00,4.4
765,307610 ,2009KW01,5.0
766,307610 ,2009KW02,4.2
767,307610 ,2009KW03,4.1
768,307610 ,2009KW04,4.6
769,307610 ,2009JJ00,4.5
770,307610 ,2010KW01,4.4
771,307610 ,2010KW02,4.2
772,307610 ,2010KW03,4.1
773,307610 ,2010KW04,4.3
774,307610 ,2010JJ00,4.3
775,307610 ,2011KW01,5.1
776,307610 ,2011KW02,4.3
777,307610 ,2011KW03,4.3
778,307610 ,2011KW04,4.5
779,307610 ,2011JJ00,4.6
780,307610 ,2012KW01,4.5
781,307610 ,2012KW02,4.1
782,307610 ,2012KW03,4.0
783,307610 ,2012KW04,4.3
784,307610 ,2012JJ00,4.2
785,307610 ,2013KW01,4.9
786,307610 ,2013KW02,4.1
787,307610 ,2013KW03,3.8
788,307610 ,2013KW04,4.1
789,307610 ,2013JJ00,4.2
790,307610 ,2014KW01,4.3
791,307610 ,2014KW02,4.0
792,307610 ,2014KW03,4.0
793,307610 ,2014KW04,4.3
794,307610 ,2014JJ00,4.1
795,307610 ,2015KW01,4.6
796,307610 ,2015KW02,3.9
797,307610 ,2015KW03,3.7
798,307610 ,2015KW04,4.5
799,307610 ,2015JJ00,4.2
800,307610 ,2016KW01,4.6
801,307610 ,2016KW02,4.0
802,307610 ,2016KW03,3.8
803,307610 ,2016KW04,4.5
804,307610 ,2016JJ00,4.2
805,307610 ,2017KW01,4.9
806,307610 ,2017KW02,4.4
